bearing,delay,event_timestamp,lastLocID,lastStopSeq,nextLocID,nextStopSeq,tripID,vehicle_id,vehicle_location_latitude,vehicle_location_longitude
90,39,2017-01-31 07:25:22,8349,3,8350,4,7127286,322,45.522271999999994,-122.50958200000001
169,-81,2017-01-31 07:25:23,10579,1,10577,2,7126655,222,45.576893,-122.567118
180,-156,2017-01-31 07:25:38,13714,12,13715,13,7130328,205,45.490682,-122.648569
174,-102,2017-01-31 07:25:43,11503,6,11504,7,7128426,413,45.554973,-122.68233500000001
90,-167,2017-01-31 07:25:48,8347,35,8348,36,7127547,221,45.522649,-122.561718
294,-210,2017-01-31 07:26:03,9829,26,9832,27,7127664,235,45.517096,-122.86958999999999
250,-199,2017-01-31 07:26:07,9818,33,9823,34,7127911,107,45.490556,-122.80681299999999
166,-485,2017-01-31 07:26:24,13130,23,13132,24,7129359,321,45.437339,-122.568303
302,17,2017-01-31 07:26:35,8362,5,8363,6,7127668,215,45.519354,-122.467849
89,-69,2017-01-31 07:26:40,8342,11,8343,12,7129360,203,45.530054,-122.652872
358,-231,2017-01-31 07:26:53,7787,5,9299,6,7128219,532,45.524347999999996,-122.676492
90,53,2017-01-31 07:27:08,8350,4,8351,5,7127286,124,45.522152,-122.495446
119,-67,2017-01-31 07:27:09,10577,2,10575,3,7126655,222,45.572165999999996,-122.55786599999999
19,-16,2017-01-31 07:27:17,13720,1,13721,2,7130120,301,45.44144,-122.639778
300,-201,2017-01-31 07:27:23,9823,34,9825,35,7127911,223,45.49255,-122.81471200000001
180,-87,2017-01-31 07:27:28,11504,7,11505,8,7128426,414,45.549026,-122.681031
178,-132,2017-01-31 07:27:28,8377,16,7601,17,7129574,231,45.527297,-122.67556
89,-113,2017-01-31 07:28:07,9839,6,9835,7,7127290,320,45.53024,-122.92131499999999
275,32,2017-01-31 07:28:07,8363,6,8364,7,7127668,202,45.522009000000004,-122.47628300000001
358,-196,2017-01-31 07:28:18,9299,6,7763,7,7128219,523,45.527232,-122.67657
179,-49,2017-01-31 07:28:23,8377,20,8378,21,7127666,106,45.525659000000005,-122.67146399999999
90,-154,2017-01-31 07:28:42,8348,36,8349,37,7127547,221,45.522514,-122.54196499999999
170,-162,2017-01-31 07:28:43,13715,13,13716,14,7130328,205,45.474621,-122.640019
90,75,2017-01-31 07:28:46,8351,5,8352,6,7127286,322,45.52207,-122.485222
178,-141,2017-01-31 07:29:02,7601,17,9303,18,7129574,231,45.524522,-122.675452
94,-121,2017-01-31 07:29:14,9835,7,9834,8,7127290,320,45.530211,-122.912803
102,-302,2017-01-31 07:29:23,10120,17,10118,18,7127287,404,45.519037,-122.69745900000001
270,69,2017-01-31 07:29:32,8364,7,8365,8,7127668,202,45.522110999999995,-122.48563
126,-95,2017-01-31 07:29:36,11505,8,11506,9,7128426,413,45.539445,-122.67536299999999
96,132,2017-01-31 07:29:49,8352,6,8353,7,7127286,124,45.52195,-122.476146
215,-89,2017-01-31 07:30:01,10575,3,10573,4,7126655,325,45.558661,-122.566065
307,-221,2017-01-31 07:30:14,9825,35,9819,36,7127911,223,45.499196000000005,-122.83067700000001
174,-105,2017-01-31 07:30:19,8378,21,8379,22,7127666,306,45.523693,-122.67139099999999
201,-85,2017-01-31 07:30:27,9303,18,7627,19,7129574,231,45.521962,-122.67582900000001
108,-144,2017-01-31 07:30:55,8343,12,8344,13,7129360,120,45.532738,-122.62063899999998
315,-23,2017-01-31 07:30:55,13721,2,13722,3,7130120,301,45.462996000000004,-122.637809
291,-205,2017-01-31 07:30:55,8384,15,9757,16,7127665,242,45.521595,-122.688099
270,97,2017-01-31 07:31:00,8365,8,8366,9,7127668,202,45.522189000000004,-122.495378
306,-217,2017-01-31 07:31:01,9819,36,9827,37,7127911,107,45.502307,-122.836712
90,-151,2017-01-31 07:31:09,8349,37,8350,38,7127547,313,45.522313,-122.51465400000001
121,137,2017-01-31 07:31:13,8353,7,8354,8,7127286,322,45.520407,-122.470524
39,-307,2017-01-31 07:31:17,10118,18,9759,19,7127287,404,45.519859999999994,-122.691594
177,-25,2017-01-31 07:31:21,10573,4,11615,5,7126655,222,45.547152000000004,-122.560325
201,-117,2017-01-31 07:31:27,8379,22,8380,23,7127666,106,45.521436,-122.671618
135,-158,2017-01-31 07:31:39,13716,14,13717,15,7130328,205,45.462639,-122.63746599999999
121,-103,2017-01-31 07:31:44,11506,9,11507,10,7128426,413,45.530083000000005,-122.66765900000001
206,-141,2017-01-31 07:31:52,9757,16,9820,17,7127665,209,45.520691,-122.691005
121,161,2017-01-31 07:32:17,8354,8,8355,9,7127286,124,45.516915000000004,-122.462259
200,-77,2017-01-31 07:32:19,7627,19,7646,20,7129574,241,45.518608,-122.677649
306,-213,2017-01-31 07:32:57,9827,37,9829,38,7127911,107,45.508686,-122.84885200000001
114,-110,2017-01-31 07:32:58,9834,8,9831,9,7127290,320,45.518943,-122.87544399999999
90,-144,2017-01-31 07:33:01,8350,38,8351,39,7127547,313,45.522175,-122.498328
270,80,2017-01-31 07:33:10,8366,9,8367,10,7127668,202,45.522295,-122.507952
301,-164,2017-01-31 07:33:16,7763,7,11508,8,7128219,532,45.530411,-122.668305
350,-17,2017-01-31 07:33:18,13722,3,13723,4,7130120,301,45.475625,-122.64013999999999
202,-67,2017-01-31 07:33:22,7646,20,7608,21,7129574,241,45.516194,-122.678952
52,-173,2017-01-31 07:33:24,8344,13,8345,14,7129360,120,45.528718,-122.60276499999999
22,-362,2017-01-31 07:33:42,9759,19,9758,20,7127287,404,45.521311,-122.69057600000001
266,-141,2017-01-31 07:33:55,9820,17,10117,18,7127665,209,45.517959000000005,-122.693079
90,-112,2017-01-31 07:34:33,8351,39,8352,40,7127547,313,45.522084,-122.486892
247,-36,2017-01-31 07:34:35,11507,10,7601,11,7128426,413,45.527663000000004,-122.67508000000001
16,-31,2017-01-31 07:34:47,11615,5,8370,6,7126655,222,45.529454,-122.563519
199,-113,2017-01-31 07:34:55,13717,15,13718,16,7130328,205,45.440985999999995,-122.640106
306,-142,2017-01-31 07:35:24,11508,8,11509,9,7128219,523,45.539707,-122.675727
270,88,2017-01-31 07:35:37,8367,10,8368,11,7127668,215,45.522496999999994,-122.53386
1,-17,2017-01-31 07:35:48,13723,4,13724,5,7130120,246,45.491139000000004,-122.64842900000001
295,-206,2017-01-31 07:35:53,9829,38,9832,39,7127911,107,45.517182,-122.86985800000001
90,-77,2017-01-31 07:35:56,8352,40,8353,41,7127547,221,45.522003000000005,-122.47779399999999
124,-123,2017-01-31 07:36:00,9831,9,9830,10,7127290,320,45.511821000000005,-122.85528000000001
110,-365,2017-01-31 07:36:02,9758,20,8333,21,7127287,404,45.519762,-122.68397
351,-195,2017-01-31 07:36:17,13132,1,13133,2,7129576,321,45.453332,-122.573548
178,-43,2017-01-31 07:36:44,7601,1,9303,2,7129575,413,45.523926,-122.67543799999999
256,-110,2017-01-31 07:36:50,10117,18,10121,19,7127665,209,45.511089,-122.713078
201,-112,2017-01-31 07:36:54,7608,21,7618,22,7129574,231,45.511758,-122.681375
174,-65,2017-01-31 07:37:18,13718,16,13720,17,7130328,319,45.431775,-122.635244
126,-130,2017-01-31 07:37:25,9830,10,9828,11,7127290,320,45.507540999999996,-122.846725
121,-66,2017-01-31 07:37:31,8353,41,8354,42,7127547,313,45.520557000000004,-122.470873
0,-32,2017-01-31 07:37:34,13724,5,13725,6,7130120,246,45.498186,-122.6481
115,-309,2017-01-31 07:37:39,8345,14,8346,15,7129360,120,45.533202,-122.577816
0,-131,2017-01-31 07:37:43,11509,9,11510,10,7128219,523,45.548442,-122.68098400000001
293,-253,2017-01-31 07:38:10,9832,39,9833,40,7127911,223,45.521623,-122.88368100000001
270,108,2017-01-31 07:38:10,8368,11,8369,12,7127668,202,45.522646,-122.55537199999999
296,-106,2017-01-31 07:38:18,8370,1,8371,2,7127667,222,45.533505,-122.578445
16,-202,2017-01-31 07:38:24,13133,2,13134,3,7129576,321,45.467613,-122.56669
110,-365,2017-01-31 07:38:25,8333,21,8334,22,7127287,404,45.518537,-122.67938500000001
201,-33,2017-01-31 07:38:34,9303,2,7627,3,7129575,414,45.521551,-122.67605400000001
90,19,2017-01-31 07:38:42,9848,1,9846,2,7127548,230,45.52134,-122.985449
294,-253,2017-01-31 07:39:07,9833,40,9836,41,7127911,223,45.524878,-122.893992
126,-102,2017-01-31 07:39:13,9828,11,9822,12,7127290,247,45.501463,-122.835169
203,-109,2017-01-31 07:39:21,7618,22,7606,23,7129574,241,45.508853,-122.68306000000001
